,cpu_hash,cpu_md5,cpu_simple,machine,mem_l1,mem_l2,mem_l3,mem_ll,mmn_s1,mmn_s2,mmn_s3,mmn_s4,mms_s1,mms_s2,mms_s3,mms_s4,mvs_s1,mvs_s2,mvs_s3,mvs_s4
0,1.433002817,1.864739044,0.887512144,luna,0.092757067,0.127320738,0.180496086,0.247814372,0.485310772,0.373064963,0.495228488,1.021880518,2.692941754,3.205870894,2.506952407,2.436541913,0.59832408,0.448702029,0.362418184,0.712608945
1,2.674985373,3.548994529,1.414661933,luna,0.084693985,0.121351027,0.173848261,0.273392035,0.853257943,0.680025179,0.720247877,1.248377497,5.039232526,4.784270235,4.062242359,3.982827292,1.150020845,0.829767686,0.661501345,0.992108323
2,2.776802618,3.767876379,1.413722404,luna,0.101136009,0.11691379,0.173930012,0.270789485,0.854797964,0.680946444,0.719150281,1.263163953,4.905376688,4.730401536,4.039482603,3.946996982,1.143303165,0.824769656,0.655918496,0.985528244
3,2.778331852,3.742554474,1.413451839,luna,0.084429836,0.116798014,0.169377993,0.262801984,0.852602377,0.679500789,0.7206392,1.25708157,4.901768378,4.814196601,4.041547577,3.942318021,1.14520153,0.823978896,0.657522997,0.987376928
4,1.433389704,1.855741313,0.887586638,luna,0.092277189,0.118112714,0.178616834,0.231809978,0.484276952,0.371239305,0.50196016,1.01906718,2.680231835,3.192293178,2.497427985,2.427111199,0.79287302,0.448123251,0.362472341,0.712416847
5,1.435728791,1.857573133,0.888690376,luna,0.093667498,0.119124041,0.179837465,0.228731653,0.485352367,0.371996466,0.494376041,1.018643704,2.708905694,3.188597146,2.524786877,2.433623861,0.582903652,0.441994652,0.370209201,0.713487296
6,2.791483358,3.795669764,1.417904377,luna,0.085039565,0.118425358,0.176063492,0.301069561,0.857284813,0.684747893,0.728261294,1.283385541,4.937705221,4.761468717,4.057792648,3.951193615,1.144322395,0.824614956,0.65920218,0.990476349
7,1.434670261,1.86444146,0.888365363,luna,0.092031176,0.120454591,0.179154077,0.236817477,0.484901128,0.372532202,0.498827668,1.023347529,2.684499257,3.192856763,2.517515481,2.434247481,0.587217015,0.445772826,0.403649171,0.712491349
8,1.415285594,1.721068589,0.755871617,tarkil,0.137632111,0.167543524,0.248823185,0.267624101,0.448878598,0.383793434,0.506108209,1.250655483,2.461814472,3.249692437,2.515698036,2.460543188,0.585986294,0.439872902,0.366814675,0.715185697
9,1.591930229,1.987483021,0.847572268,tarkil,0.127859276,0.169851234,0.250690622,0.26238769,0.514982769,0.404527062,0.510111678,1.317883683,2.646777272,3.016290283,2.45352201,2.363174596,0.599976598,0.416607619,0.344168822,0.670923499
10,1.558504109,1.910957139,0.830862826,tarkil,0.126623727,0.147289549,0.220232612,0.256943953,0.494581782,0.394693376,0.49886851,1.286835197,2.646166298,3.29654717,2.38716465,2.312761364,0.523265852,0.395161136,0.326832134,0.640935657
11,1.416764029,1.708062373,0.75528324,tarkil,0.140945751,0.168029853,0.251777909,0.25708941,0.447673632,0.358395812,0.457179911,1.217500849,2.416485574,2.98175431,2.442581291,2.211128151,0.521737519,0.393895841,0.326891017,0.642181409
12,1.503386986,1.893803236,0.933919139,tarkil,0.118930713,0.156910451,0.20068041,0.243942719,0.490955628,0.395414761,0.513173816,1.310011939,2.875965344,3.43071042,2.585795331,2.536248521,0.607647128,0.458689816,0.37858115,0.744855992
13,1.524694207,1.837138502,0.837997849,tarkil,0.114690167,0.167707438,0.238288761,0.27380942,0.480601091,0.386161587,0.489357592,1.241097984,2.569811334,3.094260433,2.453938808,2.454814942,0.582001271,0.449742364,0.363369997,0.711573759
14,1.57088365,1.897419517,0.837277657,tarkil,0.155938167,0.164967177,0.248286649,0.269948763,0.49572377,0.383691937,0.487580022,1.217013847,2.777944318,3.340919027,2.605096309,2.457667309,0.540891199,0.393635274,0.332769435,0.642016538
15,1.515404068,1.831665244,0.836555663,tarkil,0.145878679,0.168198707,0.255191686,0.266813281,0.480357525,0.384258,0.486163584,1.255991891,2.564293331,3.183280314,2.416386669,2.365435736,0.565417809,0.42645972,0.35021616,0.685042371
16,1.580718376,1.776857667,0.99953921,ajax,0.076498436,0.092476213,0.189486776,0.224922279,0.516354054,0.395781543,0.763442672,1.031553816,4.584772939,3.453965057,3.491368058,3.341783663,0.611320985,0.526978203,0.515210088,0.706043011
17,1.564289465,1.882613618,0.862377088,tarkil,0.131989333,0.174129632,0.254090553,0.247206872,0.494195878,0.395653279,0.503214496,1.282274793,2.652471591,3.399613047,2.495285304,2.46354779,0.598376625,0.451809256,0.365089433,0.707815154
