,duration,machine,testname
9311,0.156449971,luna,03b0857658797f18e47633c33d6faa47
7327,0.183106797,tarkil,03b0857658797f18e47633c33d6faa47
1183,0.154174783,exmag,03b0857658797f18e47633c33d6faa47
1567,0.116866127,hildor,03b0857658797f18e47633c33d6faa47
927,0.188108606,ajax,03b0857658797f18e47633c33d6faa47
8479,0.081411661,ajax,03b0857658797f18e47633c33d6faa47
3103,0.054739742,tarkil,03b0857658797f18e47633c33d6faa47
8159,0.187516579,luna,03b0857658797f18e47633c33d6faa47
5343,0.254015453,exmag,03b0857658797f18e47633c33d6faa47
6943,0.055893987,exmag,03b0857658797f18e47633c33d6faa47
1375,0.096325766,luna,03b0857658797f18e47633c33d6faa47
2271,0.341840474,luna,03b0857658797f18e47633c33d6faa47
543,0.04269725,tarkil,03b0857658797f18e47633c33d6faa47
6687,0.08731425400000001,exmag,03b0857658797f18e47633c33d6faa47
4575,0.212220527,exmag,03b0857658797f18e47633c33d6faa47
8671,0.220064347,ajax,03b0857658797f18e47633c33d6faa47
9951,0.27141993,hildor,03b0857658797f18e47633c33d6faa47
7839,0.126834942,tarkil,03b0857658797f18e47633c33d6faa47
1887,0.27023049600000004,mudrc,03b0857658797f18e47633c33d6faa47
10655,0.600776147,mudrc,03b0857658797f18e47633c33d6faa47
7583,0.178209838,tarkil,03b0857658797f18e47633c33d6faa47
6431,0.106590056,exmag,03b0857658797f18e47633c33d6faa47
159,0.152923869,luna,03b0857658797f18e47633c33d6faa47
2335,0.081914232,ajax,03b0857658797f18e47633c33d6faa47
3679,0.119626961,tarkil,03b0857658797f18e47633c33d6faa47
9375,0.163565089,luna,03b0857658797f18e47633c33d6faa47
9887,0.224176382,hildor,03b0857658797f18e47633c33d6faa47
7391,0.208963435,tarkil,03b0857658797f18e47633c33d6faa47
4959,0.09624224,luna,03b0857658797f18e47633c33d6faa47
7135,0.170540632,exmag,03b0857658797f18e47633c33d6faa47
287,0.075593723,tarkil,03b0857658797f18e47633c33d6faa47
863,0.12335714,ajax,03b0857658797f18e47633c33d6faa47
351,0.114194122,tarkil,03b0857658797f18e47633c33d6faa47
2399,0.128450635,ajax,03b0857658797f18e47633c33d6faa47
3423,0.078294368,tarkil,03b0857658797f18e47633c33d6faa47
8223,0.055052329,luna,03b0857658797f18e47633c33d6faa47
